Origine_linguistique,Type_entite,Count - Origine_linguistique
,Municipalité de canton,22
,Municipalité de cantons unis,1
,Municipalité de paroisse,320
,Municipalité de village,136
,Municipalité de village cri,4
,Municipalité régionale de comté,19
,Parc,1
,Parc canin,1
,Parc d'affaires,1
,Parc de conservation,11
,Parc de stationnement,2
,Parc industriel,3
,Parc multisport,1
,Parc national,5
,Parc national fédéral,1
,Parc public,240
,Parc régional,3
,Parc riverain,2
,Parc-école,7
,Paroisse,579
,Partie de lac,4
,Partie de réservoir,7
,Passage,1
,Passe,4
,Passerelle,4
,Pavillon,1
,Phare,1
,Pic,1
,Place,5
,Place commémorative,8
,Plage,11
,Pointe,131
,Ponceau,1
,Pont,89
,Pont couvert,25
,Pont-tunnel,1
,Port de plaisance,2
,Portage,1
,Porte,4
,Poste de transformation,1
,Poste électrique,1
,Presqu'île,6
,Promontoire,2
,Quai,4
,Quartier,3
,Rapide,36
,Rapides,20
,Ravin,5
,Récif,3
,Récifs,4
,Région administrative,2
,Région de biosphère,3
,Réserve aquatique,2
,Réserve de chasse,1
,Réserve de chasse et de pêche,7
,Réserve de pêche,3
,Réserve écologique,2
,Réserve faunique,14
,Réserve indienne,4
,Réservoir,4
,Rivière,246
,Roche,3
,Rocher,15
,Rochers,2
,Roches,2
,Ruisseau,486
,Sanctuaire,1
,Secteur,49
,Secteur de villégiature,1
,Secteur résidentiel,34
,Section de cours d'eau,8
,Seigneurie,4
,Sentier,14
,Sentier d'interprétation,1
,Sentier de randonnée pédestre,1
,Sentier polyvalent,2
,Seuil hydrographique,1
,Site archéologique,3
,Site archéologique et historique,4
,Site historique,39
,Sommet,2
,Station de chemin de fer,1
,Station de métro,20
,Station forestière,1
,Terrain de camping,5
,Terrasse,1
,Territoire équivalent à une MRC,1
,Territoire non organisé,27
,Vallée,1
,Village,48
,Village cri,3
,Ville,83
,Zone d'aménagement et de conservation,23
,Zone d'exploitation contrôlée,4
Hybride,Aéroport,1
,Bureau de poste,1
,Circonscription foncière,1
,District électoral,2
,Division de recensement,1
,Hameau,2
,Lac,2
,Milieux humides,1
,Municipalité,3
,Municipalité de canton,1
,Municipalité de village,12
,Municipalité de village naskapi,1
,Parc de conservation,1
,Réserve de chasse et de pêche,2
,Secteur,2
,Village,1
,Ville,2
,Zone d'aménagement et de conservation,1
Inconnu,Anse,3
,Baie,3
,Bancs,1
,Barrage,1
,Cap,1
,Chute,2
,Colline,2
,Havre,1
,Île,12
,Îlots,1
,Lac,118
,Lac artificiel,1
,Lieu-dit,1
,Mont,3
,Municipalité,1
,Parc public,3
,Plage,1
,Pointe,4
,Rapides,1
,Récifs,1
,Rivière,4
,Rocher,1
,Ruisseau,14
,Secteur résidentiel,1
,Village,1
Indifférencié,Anse,3
,Baie,1
,Barrage,1
,Cap,1
,Centre de villégiature,1
,Cours d'eau agricole,2
,District électoral,2
,Haut-fond,3
,Île,7
,Lac,131
,Lacs,2
,Lieu-dit,1
,Mont,1
,Municipalité de canton,1
,Pointe,3
,Pont,1
,Réserve de chasse et de pêche,1
,Rivière,2
,Ruisseau,14
,Village,1
,Village cri,2
,Ville,3
Innu,Baie,1
,Barrage,5
,Brisants,1
,Bureau de poste,1
,Canton,1
,Centrale hydroélectrique,2
,Chenal,1
,Chute,3
,Digue,2
,Division de recensement,1
,Étang,1
,Île,4
,Îles,1
,Lac,29
,Lieu-dit,5
,Mont,2
,Municipalité de canton,1
,Parc national,1
,Parc public,1
,Partie de réservoir,1
,Pointe,2
,Pont,1
,Portage,3
,Poste de transport,1
,Rapides,5
,Récifs,1
,Région de biosphère,1
,Réserve de chasse et de pêche,1
,Réserve indienne,2
,Réservoir,3
,Rivière,11
,Rocher,1
,Rochers,1
,Ruisseau,5
,Section de cours d'eau,1
,Site archéologique,1
,Village,3
,Ville,3
,Zone d'aménagement et de conservation,5
Inuktitut,Anse,2
,Baie,9
,Bureau de poste,1
,Camp saisonnier,8
,Cap,9
,Caps,2
,Carrière,1
,Centrale thermique,1
,Chenal,1
,Chute,1
,Colline,16
,Collines,4
,Éolienne,1
,Étangs,1
,Falaise,1
,Havre,1
,Île,29
,Îles,4
,Lac,76
,Lieu de pêche,1
,Lieu-dit,2
,Mont,3
,Monts,2
,Mouillage,1
,Municipalité de village nordique,3
,Passe,5
,Piste,1
,Pointe,29
,Pointes,1
,Rivière,23
,Rocher,1
,Ruisseau,3
,Section de cours d'eau,29
